city,state,10th,25th,50th,75th,90th,date,region
Seaford,DE,52435.0,60144.0,68612.0,78366.0,87246.0,"June 26, 2023",Northeast
Smyrna,DE,52933.0,60716.0,69264.0,79110.0,88075.0,"June 26, 2023",Northeast
Wilmington,DE,52911.0,60690.0,69235.0,79077.0,88038.0,"June 26, 2023",Northeast
Boca Raton,FL,49597.0,56889.0,64899.0,74125.0,82524.0,"June 26, 2023",Southeast
Bradenton,FL,47611.0,54611.0,62300.0,71156.0,79219.0,"June 26, 2023",Southeast
Brandon,FL,47963.0,55014.0,62760.0,71682.0,79804.0,"June 26, 2023",Southeast
Cape Coral,FL,47161.0,54094.0,61710.0,70483.0,78470.0,"June 26, 2023",Southeast
Clearwater,FL,47766.0,54788.0,62502.0,71387.0,79477.0,"June 26, 2023",Southeast
Coconut Creek,FL,48935.0,56130.0,64032.0,73135.0,81423.0,"June 26, 2023",Southeast
Daytona Beach,FL,45775.0,52505.0,59897.0,68412.0,76165.0,"June 26, 2023",Southeast
Fort Lauderdale,FL,48935.0,56130.0,64032.0,73135.0,81423.0,"June 26, 2023",Southeast
Fort Myers,FL,47161.0,54094.0,61710.0,70483.0,78470.0,"June 26, 2023",Southeast
Gainesville,FL,45851.0,52593.0,59997.0,68526.0,76291.0,"June 26, 2023",Southeast
Hialeah,FL,48678.0,55835.0,63696.0,72751.0,80995.0,"June 26, 2023",Southeast
Hollywood,FL,48935.0,56130.0,64032.0,73135.0,81423.0,"June 26, 2023",Southeast
Jacksonville,FL,47912.0,54957.0,62694.0,71606.0,79721.0,"June 26, 2023",Southeast
Melbourne,FL,46028.0,52795.0,60228.0,68790.0,76585.0,"June 26, 2023",Southeast
Miami,FL,48906.0,56096.0,63993.0,73091.0,81373.0,"June 26, 2023",Southeast
Orlando,FL,47868.0,54905.0,62635.0,71539.0,79646.0,"June 26, 2023",Southeast
Palm Bay,FL,46028.0,52795.0,60228.0,68790.0,76585.0,"June 26, 2023",Southeast
Pembroke Pines,FL,48618.0,55766.0,63617.0,72661.0,80894.0,"June 26, 2023",Southeast
Pensacola,FL,45655.0,52367.0,59740.0,68232.0,75964.0,"June 26, 2023",Southeast
Port Saint Lucie,FL,47510.0,54495.0,62168.0,71005.0,79052.0,"June 26, 2023",Southeast
Saint Petersburg,FL,47973.0,55026.0,62773.0,71697.0,79821.0,"June 26, 2023",Southeast
Sarasota,FL,48124.0,55199.0,62971.0,71923.0,80073.0,"June 26, 2023",Southeast
Spring Hill,FL,47574.0,54568.0,62251.0,71100.0,79157.0,"June 26, 2023",Southeast
Tallahassee,FL,45402.0,52078.0,59409.0,67855.0,75544.0,"June 26, 2023",Southeast
Tampa,FL,47963.0,55014.0,62760.0,71682.0,79804.0,"June 26, 2023",Southeast
West Palm Beach,FL,49150.0,56377.0,64314.0,73457.0,81781.0,"June 26, 2023",Southeast
Albany,GA,46321.0,53131.0,60611.0,69228.0,77073.0,"June 26, 2023",Southeast
Athens,GA,49141.0,56366.0,64302.0,73443.0,81766.0,"June 26, 2023",Southeast
Atlanta,GA,49494.0,56771.0,64764.0,73970.0,82353.0,"June 26, 2023",Southeast
Augusta,GA,47156.0,54090.0,61705.0,70477.0,78463.0,"June 26, 2023",Southeast
Columbus,GA,45830.0,52568.0,59969.0,68494.0,76255.0,"June 26, 2023",Southeast
Macon,GA,46808.0,53690.0,61248.0,69955.0,77883.0,"June 26, 2023",Southeast
Marietta,GA,49353.0,56609.0,64579.0,73759.0,82118.0,"June 26, 2023",Southeast
Roswell,GA,49306.0,56555.0,64517.0,73689.0,82039.0,"June 26, 2023",Southeast
Savannah,GA,47350.0,54312.0,61959.0,70767.0,78786.0,"June 26, 2023",Southeast
Valdosta,GA,45100.0,51731.0,59014.0,67403.0,75041.0,"June 26, 2023",Southeast
Ewa Beach,HI,52553.0,60280.0,68767.0,78542.0,87443.0,"June 26, 2023",West
Hilo,HI,52201.0,59875.0,68305.0,78015.0,86856.0,"June 26, 2023",West
Honolulu,HI,52553.0,60280.0,68767.0,78542.0,87443.0,"June 26, 2023",West
Kahului,HI,52201.0,59875.0,68305.0,78015.0,86856.0,"June 26, 2023",West
Kaneohe,HI,52553.0,60280.0,68767.0,78542.0,87443.0,"June 26, 2023",West
Pearl City,HI,52553.0,60280.0,68767.0,78542.0,87443.0,"June 26, 2023",West
Waipahu,HI,52530.0,60253.0,68736.0,78507.0,87403.0,"June 26, 2023",West
Ames,IA,48211.0,55299.0,63084.0,72052.0,80217.0,"June 26, 2023",Midwest
Ankeny,IA,48664.0,55819.0,63678.0,72730.0,80972.0,"June 26, 2023",Midwest
Cedar Falls,IA,45432.0,52111.0,59448.0,67899.0,75593.0,"June 26, 2023",Midwest
Cedar Rapids,IA,48215.0,55303.0,63089.0,72058.0,80224.0,"June 26, 2023",Midwest
Council Bluffs,IA,47642.0,54647.0,62340.0,71203.0,79271.0,"June 26, 2023",Midwest
Davenport,IA,47825.0,54857.0,62580.0,71476.0,79576.0,"June 26, 2023",Midwest
Des Moines,IA,48664.0,55819.0,63678.0,72730.0,80972.0,"June 26, 2023",Midwest
Dubuque,IA,47567.0,54560.0,62241.0,71090.0,79145.0,"June 26, 2023",Midwest
Iowa City,IA,47822.0,54853.0,62575.0,71471.0,79570.0,"June 26, 2023",Midwest
Sioux City,IA,43745.0,50177.0,57241.0,65378.0,72787.0,"June 26, 2023",Midwest
Urbandale,IA,48664.0,55819.0,63678.0,72730.0,80972.0,"June 26, 2023",Midwest
Waterloo,IA,45821.0,52558.0,59957.0,68481.0,76241.0,"June 26, 2023",Midwest
Boise,ID,46928.0,53828.0,61406.0,70135.0,78083.0,"June 26, 2023",West
Caldwell,ID,46374.0,53192.0,60681.0,69307.0,77161.0,"June 26, 2023",West
Coeur D Alene,ID,49202.0,56436.0,64382.0,73534.0,81867.0,"June 26, 2023",West
