city,state,10th,25th,50th,75th,90th,date
Honolulu,HI,52553,60280,68767,78542,87443,"June 26, 2023"
Kahului,HI,52201,59875,68305,78015,86856,"June 26, 2023"
Kaneohe,HI,52553,60280,68767,78542,87443,"June 26, 2023"
Pearl City,HI,52553,60280,68767,78542,87443,"June 26, 2023"
Waipahu,HI,52530,60253,68736,78507,87403,"June 26, 2023"
Ames,IA,48211,55299,63084,72052,80217,"June 26, 2023"
Ankeny,IA,48664,55819,63678,72730,80972,"June 26, 2023"
Cedar Falls,IA,45432,52111,59448,67899,75593,"June 26, 2023"
Cedar Rapids,IA,48215,55303,63089,72058,80224,"June 26, 2023"
Council Bluffs,IA,47642,54647,62340,71203,79271,"June 26, 2023"
Davenport,IA,47825,54857,62580,71476,79576,"June 26, 2023"
Des Moines,IA,48664,55819,63678,72730,80972,"June 26, 2023"
Dubuque,IA,47567,54560,62241,71090,79145,"June 26, 2023"
Iowa City,IA,47822,54853,62575,71471,79570,"June 26, 2023"
Sioux City,IA,43745,50177,57241,65378,72787,"June 26, 2023"
Urbandale,IA,48664,55819,63678,72730,80972,"June 26, 2023"
Waterloo,IA,45821,52558,59957,68481,76241,"June 26, 2023"
Boise,ID,46928,53828,61406,70135,78083,"June 26, 2023"
Caldwell,ID,46374,53192,60681,69307,77161,"June 26, 2023"
Coeur D Alene,ID,49202,56436,64382,73534,81867,"June 26, 2023"
Idaho Falls,ID,45809,52543,59941,68462,76220,"June 26, 2023"
Meridian,ID,46878,53770,61340,70060,77999,"June 26, 2023"
Nampa,ID,46424,53250,60747,69382,77245,"June 26, 2023"
Pocatello,ID,43790,50229,57300,65446,72862,"June 26, 2023"
Twin Falls,ID,43740,50171,57234,65370,72778,"June 26, 2023"
Arlington Heights,IL,51948,59586,67975,77638,86436,"June 26, 2023"
Aurora,IL,52709,60458,68970,78774,87701,"June 26, 2023"
Bloomington,IL,48139,55217,62991,71945,80098,"June 26, 2023"
Bolingbrook,IL,52003,59649,68047,77720,86527,"June 26, 2023"
Champaign,IL,47792,54819,62536,71426,79520,"June 26, 2023"
Chicago,IL,53158,60974,69558,79446,88449,"June 26, 2023"
Cicero,IL,53158,60974,69558,79446,88449,"June 26, 2023"
Des Plaines,IL,53017,60812,69373,79235,88214,"June 26, 2023"
Elgin,IL,52298,59987,68432,78161,87018,"June 26, 2023"
Evanston,IL,53138,60951,69532,79416,88415,"June 26, 2023"
Hoffman Estates,IL,52699,60447,68957,78760,87685,"June 26, 2023"
Joliet,IL,51809,59426,67793,77430,86204,"June 26, 2023"
Moline,IL,46926,53825,61403,70132,78080,"June 26, 2023"
Mount Prospect,IL,52977,60766,69321,79175,88147,"June 26, 2023"
Naperville,IL,52182,59854,68281,77987,86825,"June 26, 2023"
Normal,IL,48273,55371,63166,72146,80321,"June 26, 2023"
Oak Lawn,IL,53098,60904,69479,79356,88348,"June 26, 2023"
Oak Park,IL,53158,60974,69558,79446,88449,"June 26, 2023"
Orland Park,IL,51630,59221,67559,77163,85907,"June 26, 2023"
Palatine,IL,52008,59654,68053,77727,86535,"June 26, 2023"
Peoria,IL,48673,55829,63689,72743,80987,"June 26, 2023"
Rock Island,IL,47237,54182,61810,70597,78597,"June 26, 2023"
Rockford,IL,49626,56922,64936,74167,82571,"June 26, 2023"
Schaumburg,IL,52613,60348,68845,78631,87542,"June 26, 2023"
Skokie,IL,53138,60951,69532,79416,88415,"June 26, 2023"
